,GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
157,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
158,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
159,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
160,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
161,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
162,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
163,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
164,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
165,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
166,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
167,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
168,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
169,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
170,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
171,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
172,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
173,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
174,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
175,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
176,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
177,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
178,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
179,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
180,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
181,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
182,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
183,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
184,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
185,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
186,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
187,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
188,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
189,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
190,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
191,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
192,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
193,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
194,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
195,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
196,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
197,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
198,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
199,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
200,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
